INFO::2016-10-20 18:35:19,101 Loading Data
INFO::2016-10-21 19:53:17,172 Step 2. Submission Scoring
INFO::2016-10-21 19:53:44,318 Fitting Classifier:extra_tree
INFO::2016-10-21 19:53:44,319 Step 1. K-Fold 
DEBUG::2016-10-21 19:53:44,342 Fold 0
DEBUG::2016-10-21 19:53:49,363 Fold 1
DEBUG::2016-10-21 19:53:54,179 Fold 2
DEBUG::2016-10-21 19:53:59,003 Fold 3
DEBUG::2016-10-21 19:54:03,923 Fold 4
INFO::2016-10-21 19:54:09,062 extra_tree done training.  AUC = 0.989582302143
INFO::2016-10-21 19:54:09,062 Step 2. Submission Scoring
INFO::2016-10-21 19:54:17,061 Fitting Classifier:xgboost
INFO::2016-10-21 19:54:17,061 Step 1. K-Fold 
DEBUG::2016-10-21 19:54:17,084 Fold 0
DEBUG::2016-10-21 19:54:32,611 Fold 1
DEBUG::2016-10-21 19:54:47,756 Fold 2
DEBUG::2016-10-21 19:55:03,395 Fold 3
DEBUG::2016-10-21 19:55:18,990 Fold 4
INFO::2016-10-21 19:55:34,912 xgboost done training.  AUC = 0.98892775175
INFO::2016-10-21 19:55:34,912 Step 2. Submission Scoring
INFO::2016-10-21 19:55:55,860 Done
INFO::2016-10-21 20:09:01,601 Loading Data
DEBUG::2016-10-21 20:09:02,198 X Shape = (160000, 5) y Shape = (160000,) S Shape = (40000, 5)
INFO::2016-10-21 20:09:02,198 Brewing Classifiers
DEBUG::2016-10-21 20:09:02,198 3 Classifiers Brewed
INFO::2016-10-21 20:09:02,198 Fitting Classifier:rfc
INFO::2016-10-21 20:09:02,201 Step 1. K-Fold 
DEBUG::2016-10-21 20:09:02,225 Fold 0
DEBUG::2016-10-21 20:09:22,691 Fold 1
DEBUG::2016-10-21 20:09:43,564 Fold 2
DEBUG::2016-10-21 20:10:04,731 Fold 3
DEBUG::2016-10-21 20:10:25,188 Fold 4
INFO::2016-10-21 20:10:45,168 rfc done training.  AUC = 0.989598734768
INFO::2016-10-21 20:10:45,538 Step 2. Submission Scoring
INFO::2016-10-21 20:11:11,311 Fitting Classifier:extra_tree
INFO::2016-10-21 20:11:11,311 Step 1. K-Fold 
DEBUG::2016-10-21 20:11:11,335 Fold 0
DEBUG::2016-10-21 20:11:16,457 Fold 1
DEBUG::2016-10-21 20:11:21,577 Fold 2
DEBUG::2016-10-21 20:11:26,896 Fold 3
DEBUG::2016-10-21 20:11:32,011 Fold 4
INFO::2016-10-21 20:11:37,175 extra_tree done training.  AUC = 0.989580869603
INFO::2016-10-21 20:11:37,548 Step 2. Submission Scoring
INFO::2016-10-21 20:11:44,571 Fitting Classifier:xgboost
INFO::2016-10-21 20:11:44,571 Step 1. K-Fold 
DEBUG::2016-10-21 20:11:44,595 Fold 0
DEBUG::2016-10-21 20:12:00,881 Fold 1
DEBUG::2016-10-21 20:12:16,756 Fold 2
DEBUG::2016-10-21 20:12:32,937 Fold 3
DEBUG::2016-10-21 20:12:48,991 Fold 4
INFO::2016-10-21 20:13:05,188 xgboost done training.  AUC = 0.98892775175
INFO::2016-10-21 20:13:05,561 Step 2. Submission Scoring
INFO::2016-10-21 20:13:26,345 Done
